Language,Experiment,Method,BLEU,ROUGE-L,Semantic_Similarity,CHRF++
FR,narrative,google,9.85,27.900000000000002,56.800003,30.34
FR,narrative,human,100.0,100.0,100.0,100.0
FR,narrative,default,8.96,26.900000000000002,56.9,29.52
FR,narrative,glossary,11.34,29.5,59.500004,31.59
FR,narrative,context,9.57,27.200000000000003,57.300003,29.87
FR,narrative,context+glossary,9.79,27.400000000000002,59.8,30.45
FR,dialogue,google,3.17,9.700000000000001,40.5,17.33
FR,dialogue,human,100.0,100.0,100.0,100.0
FR,dialogue,default,4.63,12.5,41.9,17.45
FR,dialogue,glossary,4.61,12.5,42.0,17.52
FR,dialogue,context,4.65,11.600000000000001,40.8,17.19
FR,dialogue,context+glossary,4.91,12.7,41.3,17.6
DE,narrative,google,17.34,33.300000000000004,66.399994,41.5
DE,narrative,human,100.0,100.0,100.0,100.0
DE,narrative,default,7.65,26.1,62.199997,27.29
DE,narrative,glossary,9.71,27.500000000000004,61.1,28.47
DE,narrative,context,8.25,26.6,62.1,27.57
DE,narrative,context+glossary,9.96,27.900000000000002,60.100002,28.73
DE,dialogue,google,4.83,12.7,43.399998,17.22
DE,dialogue,human,100.0,100.0,100.0,100.0
DE,dialogue,default,3.93,12.0,42.2,17.26
DE,dialogue,glossary,3.96,12.0,42.8,17.22
DE,dialogue,context,3.75,11.700000000000001,41.7,17.11
DE,dialogue,context+glossary,3.75,11.700000000000001,41.7,17.06
UKR,narrative,google,13.43,0.0,71.100006,39.97
UKR,narrative,human,100.0,0.0,100.0,100.0
UKR,narrative,default,3.83,0.0,58.600002,22.92
UKR,narrative,glossary,11.15,0.0,71.100006,39.35
UKR,narrative,context,9.13,0.0,69.9,37.26
UKR,narrative,context+glossary,11.51,0.0,71.100006,39.41
UKR,dialogue,google,2.9,0.0,47.3,15.64
UKR,dialogue,human,100.0,1.3,100.0,100.0
UKR,dialogue,default,2.67,0.0,46.3,15.74
UKR,dialogue,glossary,3.12,0.0,46.2,15.84
UKR,dialogue,context,2.65,0.0,46.7,15.86
UKR,dialogue,context+glossary,3.0,0.0,46.399998,15.79
